rule_id,block,first_failure_count,systematic_failure_count,first_failure_fraction,systematic_failure_fraction
Q1_D1,AVAILABILITY,7,7,1.0,1.0
Q1_D1,SAFETY,1,1,0.14285714285714285,0.14285714285714285
Q2_D1,AVAILABILITY,6,6,0.8571428571428571,0.8571428571428571
Q2_D1,SAFETY,2,2,0.2857142857142857,0.2857142857142857
Q2_D2,AVAILABILITY,4,6,0.5714285714285714,0.8571428571428571
Q2_D2,SAFETY,2,4,0.2857142857142857,0.5714285714285714
Q3_D1,AVAILABILITY,5,5,0.7142857142857143,0.7142857142857143
Q3_D1,SAFETY,3,3,0.42857142857142855,0.42857142857142855
Q3_D2,AVAILABILITY,4,5,0.5714285714285714,0.7142857142857143
Q3_D2,SAFETY,3,4,0.42857142857142855,0.5714285714285714
Q3_D3,AVAILABILITY,2,5,0.2857142857142857,0.7142857142857143
Q3_D3,SAFETY,3,6,0.42857142857142855,0.8571428571428571
Q4_D1,AVAILABILITY,4,4,0.5714285714285714,0.5714285714285714
Q4_D1,SAFETY,4,4,0.5714285714285714,0.5714285714285714
Q4_D2,AVAILABILITY,4,4,0.5714285714285714,0.5714285714285714
Q4_D2,SAFETY,4,4,0.5714285714285714,0.5714285714285714
Q4_D3,AVAILABILITY,2,4,0.2857142857142857,0.5714285714285714
Q4_D3,SAFETY,4,6,0.5714285714285714,0.8571428571428571
Q5_D1,AVAILABILITY,3,3,0.42857142857142855,0.42857142857142855
Q5_D1,SAFETY,5,5,0.7142857142857143,0.7142857142857143
Q5_D2,AVAILABILITY,3,3,0.42857142857142855,0.42857142857142855
Q5_D2,SAFETY,5,5,0.7142857142857143,0.7142857142857143
Q5_D3,AVAILABILITY,2,3,0.2857142857142857,0.42857142857142855
Q5_D3,SAFETY,5,6,0.7142857142857143,0.8571428571428571
Q6_D1,AVAILABILITY,2,2,0.2857142857142857,0.2857142857142857
Q6_D1,SAFETY,6,6,0.8571428571428571,0.8571428571428571
Q6_D2,AVAILABILITY,2,2,0.2857142857142857,0.2857142857142857
Q6_D2,SAFETY,6,6,0.8571428571428571,0.8571428571428571
Q6_D3,AVAILABILITY,2,2,0.2857142857142857,0.2857142857142857
Q6_D3,SAFETY,6,6,0.8571428571428571,0.8571428571428571
Q7_D1,AVAILABILITY,1,1,0.14285714285714285,0.14285714285714285
Q7_D1,SAFETY,7,7,1.0,1.0
Q7_D2,AVAILABILITY,1,1,0.14285714285714285,0.14285714285714285
Q7_D2,SAFETY,7,7,1.0,1.0
Q7_D3,AVAILABILITY,1,1,0.14285714285714285,0.14285714285714285
Q7_D3,SAFETY,7,7,1.0,1.0
